ICAO,Name,Latitude,Longitude,Elevation
KJFK,John F Kennedy International Airport,40.6398,-73.7789,13
KLAX,Los Angeles International Airport,33.9425,-118.4081,125
KORD,Chicago O'Hare International Airport,41.9786,-87.9048,672
KATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281,1026
KDFW,Dallas Fort Worth International Airport,32.8968,-97.0380,607
KDEN,Denver International Airport,39.8617,-104.6731,5434
KSFO,San Francisco International Airport,37.6213,-122.3790,13
KLAS,Las Vegas McCarran International Airport,36.0840,-115.1537,2181
KSEA,Seattle-Tacoma International Airport,47.4502,-122.3088,433
KMIA,Miami International Airport,25.7959,-80.2870,8
KPHX,Phoenix Sky Harbor International Airport,33.4342,-112.0080,1135
KIAH,George Bush Intercontinental Airport,29.9844,-95.3414,97
KBOS,Boston Logan International Airport,42.3656,-71.0096,19
KMSP,Minneapolis-St Paul International Airport,44.8848,-93.2223,841
KDTW,Detroit Metropolitan Wayne County Airport,42.2124,-83.3534,645
KPHL,Philadelphia International Airport,39.8744,-75.2424,36
KCLT,Charlotte Douglas International Airport,35.2144,-80.9473,748
KBWI,Baltimore/Washington International Airport,39.1774,-76.6684,146
KMDW,Chicago Midway International Airport,41.7868,-87.7522,620
KOAK,Oakland International Airport,37.7213,-122.2208,9
KSAN,San Diego International Airport,32.7336,-117.1897,17
KDAL,Dallas Love Field,32.8471,-96.8518,487
KBUR,Bob Hope Airport,34.2007,-118.3587,778
KONT,Ontario International Airport,34.0560,-117.6012,944
KPDX,Portland International Airport,45.5887,-122.5975,30
KSLC,Salt Lake City International Airport,40.7884,-111.9778,4227
KMCI,Kansas City International Airport,39.2976,-94.7139,1026
KSTL,Lambert-St Louis International Airport,38.7487,-90.3700,618
KRDU,Raleigh-Durham International Airport,35.8776,-78.7875,435
KAUS,Austin-Bergstrom International Airport,30.1945,-97.6699,542
KBNA,Nashville International Airport,36.1245,-86.6782,599
KMSY,Louis Armstrong New Orleans International Airport,29.9934,-90.2580,4
KPIT,Pittsburgh International Airport,40.4915,-80.2329,1203
KCVG,Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678,896
KMKE,Milwaukee Mitchell International Airport,42.9472,-87.8966,723
KSAT,San Antonio International Airport,29.5337,-98.4698,809
KSJC,San Jose International Airport,37.3626,-121.9290,62
KSMF,Sacramento International Airport,38.6954,-121.5908,27
Krsw,Southwest Florida International Airport,26.5362,-81.7552,30
KMCO,Orlando International Airport,28.4294,-81.3089,96
KTPA,Tampa International Airport,27.9755,-82.5332,26
KIAH,Houston George Bush Intercontinental,29.9844,-95.3414,97
KHOU,Houston William P Hobby Airport,29.6454,-95.2789,46
KBDL,Bradley International Airport,41.9389,-72.6832,173
KCLE,Cleveland Hopkins International Airport,41.4117,-81.8498,791
KCOS,Colorado Springs Airport,38.8058,-104.7006,6187
KELP,El Paso International Airport,31.8072,-106.3778,3958
